user_input,reference_contexts,reference,synthesizer_name
Alex Honnold는 Rivian과 어떤 협력 관계를 맺고 있습니까?,"['| 연도 | 수익 (백만 USD) | 순이익 (백만 USD) | 총 자산 (백만 USD) |\n| ---- | --------------- | ----------------- | ------------------ |\n| 2020 | 0               | -1,018            | 4,602              |\n| 2021 | 55              | -4,688            | 22,294             |\n| 2022 | 1,658           | -6,752            | 17,876             |\n| 2023 | 4,434           | -5,432            | 16,778             |\n\n**최대 주주**\n\n2023년 12월 현재 최대 주주는 Amazon, T. Rowe Price International, The Vanguard Group, BlackRock 및 Fidelity Investments였습니다.\n\n**협력**\n\nRivian은 Alex Honnold, the Honnold Foundation, Casa Pueblo, Ewan McGregor, Charley Boorman, Yakima 및 MAXTRAX와 파트너십을 맺었습니다.\n\n**소송**']","Rivian은 Alex Honnold, the Honnold Foundation, Casa Pueblo, Ewan McGregor, Charley Boorman, Yakima 및 MAXTRAX와 파트너십을 맺었습니다.",single_hop_specifc_query_synthesizer
미국 전기차 시장에서 Laura Schwab 전 부사장이 제기한 소송의 주요 쟁점과 그가 제기한 차량 가격 책정 및 안전 표준에 관한 우려는 무엇입니까?,"['- 2020년 7월, Tesla는 Rivian이 독점 정보를 훔치고 직원을 빼갔다고 주장하며 소송을 제기했습니다.\n- 2021년 3월, Illinois Automobile Dealers Association은 Rivian과 Lucid Motors가 소비자에게 직접 판매했다는 이유로 소송을 제기했습니다.\n- 2021년 11월, 전 VP Laura Schwab은 차별 혐의로 소송을 제기하고 차량 가격 책정 및 안전 표준에 대한 우려를 제기했습니다.']","2021년 11월, 전 부사장 Laura Schwab은 차별 혐의로 소송을 제기하였으며, 이 소송에서 차량 가격 책정 및 안전 표준에 대한 우려를 제기하였습니다.",single_hop_specifc_query_synthesizer
"Elon Musk는 Tesla에서 어떤 역할을 했으며, 그의 기여는 무엇입니까?","['Tesla, Inc.는 미국의 다국적 자동차 및 청정 에너지 회사입니다. 이 회사는 전기 자동차(BEV), 고정형 배터리 에너지 저장 장치, 태양 전지판, 태양광 지붕널 및 관련 제품/서비스를 설계, 제조 및 판매합니다. 2003년 7월 Martin Eberhard와 Marc Tarpenning이 Tesla Motors로 설립했으며, Nikola Tesla를 기리기 위해 명명되었습니다. Elon Musk는 2004년 Tesla의 초기 자금 조달을 주도하여 2008년에 회장 겸 CEO가 되었습니다.']","Elon Musk는 2004년에 Tesla의 초기 자금 조달을 주도했으며, 2008년에 회장 겸 CEO가 되었습니다.",single_hop_specifc_query_synthesizer
Cubertruck는 언제 출시되었나요?,"['Tesla의 차량 생산은 2008년 Roadster로 시작하여 Model S (2012), Model X (2015), Model 3 (2017), Model Y (2020), Semi (2022) 및 Cybertruck (2023)으로 이어졌습니다. 이 회사는 세계에서 가장 가치 있는 회사 중 하나이며 2020년 7월 이후 가장 가치 있는 자동차 제조업체입니다. Tesla는 2021~2022년, 그리고 2024년에 다시 한 번 한때 1조 달러의 가치를 달성했습니다. 2023년에는 배터리 전기 자동차 시장에서 가장 큰 점유율(19.9%)을 차지했으며 Forbes Global 2000에서 69위에 랭크되었습니다.']",Cybertruck은 2023년에 출시되었습니다.,single_hop_specifc_query_synthesizer
Tesla의 공동 설립자 중 Marc Tarpenning의 역할은 무엇이었습니까?,"['Tesla는 내부 고발자 보복, 근로자 권리 침해, 안전 결함, 홍보 부족, Musk의 논란의 여지가 있는 발언과 관련된 소송, 정부 조사 및 비판에 직면했습니다.\n\n## 역사\n\n### 창립 (2003–2004)\n\nTesla Motors, Inc.는 2003년 7월 1일에 Martin Eberhard와 Marc Tarpenning에 의해 설립되었으며, 각각 CEO와 CFO를 역임했습니다. Ian Wright는 얼마 지나지 않아 합류했습니다. 2004년 2월, Elon Musk는 750만 달러의 시리즈 A 자금 조달을 주도하여 회장 겸 최대 주주가 되었습니다. J. B. Straubel은 2004년 5월 CTO로 합류했습니다. 다섯 명 모두 공동 설립자로 인정받고 있습니다.\n\n### Roadster (2005–2009)']","Tesla Motors, Inc.는 2003년 7월 1일에 Martin Eberhard와 Marc Tarpenning에 의해 설립되었으며, Marc Tarpenning은 CFO를 역임했습니다.",single_hop_specifc_query_synthesizer
Elon Musk는 Tesla 초기 경영진 교체 과정에서 어떤 역할을 했나요?,"[""Elon Musk는 주류 차량으로 확장하기 전에 프리미엄 스포츠카로 시작하는 전략에 초점을 맞춰 적극적인 역할을 수행했습니다. 후속 자금 조달에는 Valor Equity Partners (2006)와 Sergey Brin, Larry Page, Jeff Skoll과 같은 기업가의 투자가 포함되었습니다.\n\n2007년 8월, Eberhard는 CEO에서 물러나라는 요청을 받았고, Tarpenning은 2008년 1월에 이어졌습니다. Michael Marks는 Ze'ev Drori가 인수하기 전에 임시 CEO를 역임했으며, Musk는 2008년 10월에 인수했습니다. Eberhard는 2009년 6월 Musk를 상대로 소송을 제기했지만 나중에 기각되었습니다.""]","Elon Musk는 2008년 10월에 Tesla를 인수했으며, 그 이전에 CEO였던 Eberhard가 2007년 8월에 물러나라는 요청을 받았고 Tarpenning도 2008년 1월에 물러났습니다. Michael Marks가 임시 CEO를 역임했고 Ze'ev Drori가 인수하기 전까지 경영진 교체 과정에 적극적으로 관여했습니다.",single_hop_specifc_query_synthesizer
Tesla의 Model S 생산과 관련된 주요 재정 조달 내역은 무엇입니까?,"['Roadster 생산은 2008년에 시작되었습니다. 2009년 1월까지 Tesla는 1억 8,700만 달러를 모금하고 147대의 자동차를 인도했습니다. 2009년 6월, Tesla는 미국 에너지부로부터 4억 6,500만 달러의 대출을 받았으며, 2013년 5월에 이자와 함께 상환했습니다.\n\n### IPO, Model S 및 Model X (2010–2015)\n\n2010년 5월, Tesla는 캘리포니아 주 프리몬트의 NUMMI 공장을 Toyota로부터 인수했습니다. 이 회사는 2010년 6월 NASDAQ에 상장하여 2억 2,600만 달러를 조달했습니다.']","Tesla는 2009년 1월까지 1억 8,700만 달러를 모금하고 147대의 자동차를 인도했으며, 2009년 6월 미국 에너지부로부터 4억 6,500만 달러의 대출을 받았습니다. 또한 2010년 6월 NASDAQ에 상장하여 2억 2,600만 달러를 조달했습니다.",single_hop_specifc_query_synthesizer
Tesla의 Model S는 언제 출시되었고 어떤 시장에서 가장 많이 팔린 전기차가 되었나요?,"['Tesla는 2012년 6월 Model S 고급 세단을 출시했습니다. Model S는 여러 자동차 상을 받았으며 노르웨이(2013년 9월)와 전 세계(2015년 및 2016년)에서 가장 많이 팔린 전기 자동차가 되었습니다. Tesla는 2013년 7월 NASDAQ-100에 합류했습니다.\n\n2014년, Tesla는 운전자 지원 시스템인 Autopilot을 발표했습니다. Tesla는 2015년 4월 Powerwall 및 Powerpack과 함께 에너지 저장 시장에 진출하여 일주일 만에 8억 달러의 주문을 받았습니다. Model X SUV는 2015년 9월에 출시되었습니다.\n\n### SolarCity 및 Model 3 (2016–2018)']",Tesla는 2012년 6월 Model S 고급 세단을 출시했습니다. Model S는 노르웨이(2013년 9월)와 전 세계(2015년 및 2016년)에서 가장 많이 팔린 전기 자동차가 되었습니다.,single_hop_specifc_query_synthesizer
Model 3의 주요 생산 이슈는 무엇인가요?,"['Tesla는 2016년 11월 SolarCity를 26억 달러에 인수하여 Tesla Energy를 설립했습니다. 2017년 2월, Tesla Motors는 사명을 Tesla, Inc.로 변경했습니다.\n\nModel 3 세단은 2016년 4월에 공개되어 일주일 만에 325,000건 이상의 예약이 접수되었습니다. ""생산 지옥""으로 묘사된 생산 문제로 인해 지연이 발생했습니다. 2018년 말까지 Model 3는 세계에서 가장 많이 팔린 전기 자동차(2018-2021)가 되었습니다. 2018년 8월, Musk는 Tesla를 비상장으로 전환할 계획을 발표했지만 실현되지 않았고 논란과 SEC의 증권 사기 혐의로 이어졌습니다.\n\n### 글로벌 확장 및 Model Y (2019–현재)']","Model 3는 2016년 4월 공개된 후 일주일 만에 325,000건 이상의 예약이 접수되었으나, '생산 지옥'으로 묘사된 생산 문제로 인해 지연이 발생했습니다.",single_hop_specifc_query_synthesizer
Gigafactory Berlin의 설립 시기는 언제이며 Tesla의 생산 능력 확장에 어떤 역할을 했습니까?,"['2019년 7월부터 2020년 6월까지 Tesla는 4분기 연속 흑자를 보고했으며 S&P 500에 추가되었습니다. 2020년에는 주가가 크게 상승했으며 시가 총액은 다음 9개의 대형 자동차 제조업체를 합친 것보다 많았습니다.\n\nModel Y 중형 크로스오버 SUV는 2019년 3월에 소개되었으며 배송은 2020년 3월에 시작되었습니다. Tesla는 Gigafactory Shanghai (2019), Gigafactory Berlin (2020) 및 Gigafactory Texas (2020)로 생산 능력을 확장했습니다.']","Gigafactory Berlin은 2020년에 설립되었으며, Tesla가 Gigafactory Shanghai(2019), Gigafactory Berlin(2020), Gigafactory Texas(2020)를 통해 생산 능력을 확장하는 데 중요한 역할을 했습니다.",single_hop_specifc_query_synthesizer
프리몬트 공장은 COVID-19 팬데믹 기간 동안 어떤 운영 변화를 겪었습니까?,"['2023년 3월, Tesla는 잠재적인 관세 영향으로 인해 지연된 Gigafactory Mexico에 대한 계획을 발표했습니다. COVID-19 팬데믹 초기에 Tesla는 2020년 3월에 프리몬트 공장을 폐쇄하고 지방 당국과의 분쟁 후 2020년 5월 11일에 재개장했습니다. Tesla는 2021년 12월에 법적 본사를 Gigafactory Texas로 이전했지만 Megafactory (2022)와 Palo Alto의 글로벌 엔지니어링 본사(2023)로 캘리포니아에서의 입지를 확장했습니다.']","프리몬트 공장은 COVID-19 팬데믹 초기에 2020년 3월에 폐쇄되었으며, 지방 당국과의 분쟁 후 2020년 5월 11일에 재개장하였습니다.",single_hop_specifc_query_synthesizer
Tesal는 2023년 5월에 어떤 플랜을 발표했나요?,"['2021년 초, Tesla는 Bitcoin에 15억 달러를 투자하고 환경 문제로 인해 중단하기 전에 잠시 결제 수단으로 허용했습니다. 2022년 7월까지 Tesla는 Bitcoin 보유량의 약 75%를 매각했습니다. 2023년 5월과 2024년 2월 사이에 북미 EV 제조업체는 Tesla의 북미 충전 표준으로 전환할 계획을 발표했습니다.\n\n2023년 11월, Tesla는 Cybertruck 배송을 시작했습니다. 2024년 4월, 회사는 직원 10% 감축을 발표하고 6월에 법인 설립지를 델라웨어에서 텍사스로 이전했습니다. 2024년 10월, Tesla는 미래의 차량 호출 서비스인 Tesla Network를 위해 Cybercab 및 Robovan의 컨셉 버전을 공개했습니다.']",2023년 5월과 2024년 2월 사이에 북미 EV 제조업체는 Tesla의 북미 충전 표준으로 전환할 계획을 발표했습니다.,single_hop_specifc_query_synthesizer
2024년 11월 기준 Tesla의 차량 모델 중 Model S의 위치는 어떻게 설명될 수 있습니까?,"['2024년 12월, 델라웨어 법원은 부적절한 이사회 승인을 이유로 Elon Musk의 560억 달러 급여 패키지를 거부했습니다.\n\n## 자동차 제품 및 서비스\n\n2024년 11월 현재 Tesla는 Model S, Model X, Model 3, Model Y, Semi 및 Cybertruck의 6가지 차량 모델을 제공합니다. 다음은 Tesla 모델 목록입니다.']","2024년 11월 현재 Tesla는 Model S를 포함하여 Model X, Model 3, Model Y, Semi 및 Cybertruck의 총 6가지 차량 모델을 제공합니다.",single_hop_specifc_query_synthesizer
Model S는 몇 년도에 제조되었나요?,['| Tesla 모델 |          |       |                  |\n| :--------- | :------- | :---- | :--------------- |\n| 이름       | 제조년도 | 좌석  | 참고             |\n| Roadster   | 2008     | 2     | 2012년에 단종    |\n| Model S    | 2012     | 5/7   |                  |\n| Model X    | 2015     | 5/6/7 |                  |\n| Model 3    | 2017     | 5     |                  |\n| Model Y    | 2020     | 5/7   |                  |\n| Semi       | 2022     | 2     |                  |\n| Cybertruck | 2023     | 5     |                  |\n| Roadster 2 |          | 2/4   | 2025년 출시 예정 |\n| Cybercab   |          | 2     | 2026년 출시 예정 |\n| Robovan    |          | 20    | 명시된 기간 없음 |\n\n### 사용 가능한 제품'],"Model S는 2012년에 제조되었으며, 좌석 수는 5 또는 7석입니다.",single_hop_specifc_query_synthesizer
테슬라 Model S와 Model X에서 전륜 구동의 특징은 무엇인가요?,"['- **Model S:** 리프트백 차체 스타일과 듀얼 모터, 전륜 구동 레이아웃을 갖춘 풀사이즈 고급차. Model S 개발은 2007년 이전에 시작되었으며 배송은 2012년 6월에 시작되었습니다.\n- **Model X:** 듀얼 모터 또는 트리 모터, 전륜 구동 레이아웃을 갖춘 5인승, 6인승 및 7인승 구성으로 제공되는 중형 고급 크로스오버 SUV. 뒷좌석 승객 문은 관절형 ""팔콘 윙"" 디자인으로 수직으로 열립니다. Model X 프로토타입은 2012년 2월에 처음 공개되었으며 배송은 2015년 9월에 시작되었습니다.']","테슬라 Model S와 Model X는 모두 듀얼 모터를 탑재하고 전륜 구동 레이아웃을 갖추고 있습니다. Model S는 리프트백 차체 스타일의 풀사이즈 고급차이며, 2012년 6월부터 배송이 시작되었습니다. Model X는 5인승, 6인승, 7인승 구성이 가능한 중형 고급 크로스오버 SUV로, 뒷좌석 승객 문이 관절형 '팔콘 윙' 디자인으로 수직 개폐됩니다. Model X 프로토타입은 2012년 2월에 공개되었고, 2015년 9월부터 배송이 시작되었습니다.",single_hop_specifc_query_synthesizer
Model S와 비교했을 때 Model 3의 주요 설계 차이점은 무엇입니까?,"['- **Model 3:** 패스트백 차체 스타일과 듀얼 모터, 전륜 구동 레이아웃 또는 후륜 모터, 후륜 구동 레이아웃을 갖춘 중형차. 이 차량은 고급 Model S 세단보다 저렴하도록 설계되었습니다. Model 3 프로토타입은 2016년에 처음 공개되었으며 일주일 만에 325,000건 이상의 유료 예약이 접수되었습니다.']","Model 3는 고급 Model S 세단보다 저렴하도록 설계되었으며, 패스트백 차체 스타일과 듀얼 모터, 전륜 구동 또는 후륜 구동 레이아웃을 갖춘 중형차입니다.",single_hop_specifc_query_synthesizer
"2022년 12월 1일에 Tesla Semi의 초기 배송이 이루어진 고객사는 어디이며, 이 차량의 주요 특징은 무엇입니까?","['- **Model Y:** 싱글 모터, 후륜 구동 또는 듀얼 모터, 전륜 구동 레이아웃을 갖춘 5인승 및 7인승 구성으로 제공되는 중형 크로스오버 SUV. 이 차량은 고급 Model X SUV보다 저렴하도록 설계되었습니다. Model Y 프로토타입은 2019년 3월에 처음 공개되었으며 배송은 2020년 3월에 시작되었습니다.\n- **Tesla Semi:** Tesla Semi는 Tesla, Inc.의 클래스 8 세미 트럭으로, 트리 모터, 후륜 구동 레이아웃을 갖추고 있습니다. Tesla는 Semi가 일반적인 디젤 세미 트럭보다 약 3배 더 강력하고 주행 거리가 500마일(800km)이라고 주장합니다. 초기 배송은 2022년 12월 1일에 PepsiCo에 이루어졌습니다.']","Tesla Semi는 클래스 8 세미 트럭으로 트리 모터, 후륜 구동 레이아웃을 갖추고 있으며, 일반적인 디젤 세미 트럭보다 약 3배 더 강력하고 주행 거리가 500마일(800km)입니다. 초기 배송은 2022년 12월 1일에 PepsiCo에 이루어졌습니다.",single_hop_specifc_query_synthesizer
2019년 11월에 발표된 Cybertruck의 주요 모델 구성은 어떻게 되나요?,"['- **Cybertruck:** 2019년 11월에 처음 발표된 풀사이즈 픽업 트럭. 후륜 구동, 듀얼 모터 전륜 구동, 트리 모터 전륜 구동의 세 가지 모델이 제공됩니다.']","2019년 11월에 처음 발표된 Cybertruck은 풀사이즈 픽업 트럭으로, 후륜 구동, 듀얼 모터 전륜 구동, 트리 모터 전륜 구동의 세 가지 모델이 제공됩니다.",single_hop_specifc_query_synthesizer
Roadster (2세대)의 발표 시기와 주요 성능 사양에 대해 자세히 설명해 주실 수 있습니까?,"['### 발표된 제품\n\n- **Roadster (2세대):** 2017년에 공개되었으며 620마일(1,000km)의 주행 거리와 고성능 사양을 갖춘 것으로 알려져 있습니다. 2025년에 생산 예정입니다.\n- **Tesla 차세대 차량:** 2025년 상반기에 배송될 것으로 예상되는 발표된 배터리 전기 플랫폼.\n- **Cybercab:** 출시 예정인 2인승 배터리 전기 자율 주행차.\n- **Robovan:** 미래 개발을 위해 계획된 전기 자율 밴.\n\n### 단종\n\n- **Tesla Roadster:** 2008년부터 2012년까지 생산된 2인승 스포츠카.\n\n### 연결 서비스']","Roadster (2세대)는 2017년에 공개되었으며, 620마일(1,000km)의 주행 거리와 고성능 사양을 갖춘 것으로 알려져 있습니다. 이 차량은 2025년에 생산될 예정입니다.",single_hop_specifc_query_synthesizer
Tesla 내비게이션에서 표준 연결과 프리미엄 연결의 차이는 무엇인가요?,"['Tesla 자동차에는 내비게이션을 위한 ""표준 연결""이 함께 제공됩니다. ""프리미엄 연결""은 구독료로 실시간 교통 정보, 위성 지도, 인터넷 검색 및 미디어 스트리밍을 추가합니다.\n\n### 차량 서비스']","Tesla 자동차의 내비게이션에는 기본적으로 '표준 연결'이 제공되며, '프리미엄 연결'은 구독료를 내면 실시간 교통 정보, 위성 지도, 인터넷 검색 및 미디어 스트리밍 기능이 추가됩니다.",single_hop_specifc_query_synthesizer
"Elon Musk는 Tesla의 초기 자금 조달과 CEO 취임 과정에서 어떤 역할을 했으며, 그의 전략적 방향성은 무엇이었습니까?","['<1-hop>\n\nTesla, Inc.는 미국의 다국적 자동차 및 청정 에너지 회사입니다. 이 회사는 전기 자동차(BEV), 고정형 배터리 에너지 저장 장치, 태양 전지판, 태양광 지붕널 및 관련 제품/서비스를 설계, 제조 및 판매합니다. 2003년 7월 Martin Eberhard와 Marc Tarpenning이 Tesla Motors로 설립했으며, Nikola Tesla를 기리기 위해 명명되었습니다. Elon Musk는 2004년 Tesla의 초기 자금 조달을 주도하여 2008년에 회장 겸 CEO가 되었습니다.', ""<2-hop>\n\nElon Musk는 주류 차량으로 확장하기 전에 프리미엄 스포츠카로 시작하는 전략에 초점을 맞춰 적극적인 역할을 수행했습니다. 후속 자금 조달에는 Valor Equity Partners (2006)와 Sergey Brin, Larry Page, Jeff Skoll과 같은 기업가의 투자가 포함되었습니다.\n\n2007년 8월, Eberhard는 CEO에서 물러나라는 요청을 받았고, Tarpenning은 2008년 1월에 이어졌습니다. Michael Marks는 Ze'ev Drori가 인수하기 전에 임시 CEO를 역임했으며, Musk는 2008년 10월에 인수했습니다. Eberhard는 2009년 6월 Musk를 상대로 소송을 제기했지만 나중에 기각되었습니다.""]","Elon Musk는 2004년에 Tesla의 초기 자금 조달을 주도하였고, 2008년에 회장 겸 CEO가 되었습니다. 그는 주류 차량으로 확장하기 전에 프리미엄 스포츠카로 시작하는 전략에 초점을 맞추며 적극적인 역할을 수행했습니다. 또한, 2008년 10월에 CEO 자리를 인수하기 전까지 여러 경영진 교체가 있었으며, 이 과정에서 Musk의 리더십이 확립되었습니다.",multi_hop_specific_query_synthesizer
2024년 3월에 Rivian이 공개한 새로운 R2 및 R3 SUV 모델은 2022년부터 시작된 미국 내 충전 네트워크 개방과 어떤 관련이 있습니까?,"['<1-hop>\n\n**개요**\n\nRivian은 ""스케이트보드"" 플랫폼(R1T 및 R1S 모델)을 기반으로 한 전기 스포츠 유틸리티 차량(SUV), 픽업 트럭 및 전기 배달 밴(Rivian EDV)을 생산합니다. R1T 배송은 2021년 말에 시작되었습니다. 회사는 2022년에 미국에서 충전 네트워크를 시작하여 2024년에 다른 차량에도 개방했습니다. 생산 공장은 일리노이 주 노멀에 있으며, 다른 시설은 미국, 캐나다, 영국 및 세르비아의 여러 주에 있습니다.\n\n**역사**\n\n**초창기 (2009–15):**', '<2-hop>\n\n- 2022년 10월, 느슨한 토크 볼트로 인해 13,000대의 차량을 자발적으로 리콜.\n- 2023년 6월, Tesla의 북미 충전 시스템(NACS) 채택을 발표.\n- 2023년 6월, ""A Better Route Planner""(ABRP) EV 경로 계획 앱을 개발한 Iternio 인수.\n- 2023년 10월, Amazon과의 독점 계약을 종료하여 Rivian이 다른 상업 고객에게 공급할 수 있도록 허용.\n- 2024년 2월, 급여 직원 10% 감축 발표.\n- 2024년 3월, 더 작은 가격대의 R2 SUV 및 R3 공개.']","Rivian은 2022년에 미국에서 충전 네트워크를 시작하였고, 2024년에 이 네트워크를 다른 차량에도 개방하였습니다. 이후 2024년 3월에는 더 작은 가격대의 R2 SUV 및 R3 모델을 공개하였는데, 이는 2022년부터 확장된 충전 인프라를 바탕으로 다양한 고객층을 겨냥한 새로운 전기차 모델을 선보인 것으로 볼 수 있습니다.",multi_hop_specific_query_synthesizer
